id,nombre,domicilio,telefono,email,web,tipo,calle,altura,direccion,long,lat,geometry
217,La Piedad,"Mitre, Bartolome 1156",4381-6810,lapiedadhotel@gmail.com,,Hospedaje B,"Mitre, Bartolome",1156,"Mitre, Bartolome 1156",-58.38283871157931,-34.60744762974926,POINT (-58.38283871157931 -34.60744762974926)
219,La Vasconia,Salta 1806,4304-3031,silvadaut@hotmail.com,,Hospedaje A,Salta,1806,Salta 1806,-58.38268683401696,-34.62911859867126,POINT (-58.38268683401696 -34.62911859867126)
221,Lafayette,Reconquista 546,4393-9081,info@lafayettehotel.com.ar,,4 Estrellas,Reconquista,546,Reconquista 546,-58.372626948049714,-34.60150437007726,POINT (-58.372626948049714 -34.60150437007726)
224,Lemon Suites Apartments,Chacabuco 1072,4307-5651,info@lemonsuites.com.ar,,Registro de Prestadores,Chacabuco,1072,Chacabuco 1072,-58.375696139574494,-34.62048565598121,POINT (-58.375696139574494 -34.62048565598121)
225,Lennox,Talcahuano 52,5272-1070,reservas@lennoxhotels.com,,4 Estrellas,Talcahuano,52,Talcahuano 52,-58.38496495964045,-34.60809721068144,POINT (-58.38496495964045 -34.60809721068144)
229,Libertador Hotel,Cordoba Av. 690,4321-0021 | 0022,reserva.1195@libertadorhotels.com,,5 Estrellas,Cordoba Av.,690,Cordoba Av. 690,-58.376656208643666,-34.59884851460184,POINT (-58.376656208643666 -34.59884851460184)
230,Lisboa,"Mitre, Bartolome 1282",4381-2152,"info@hotel-lisboa.com.ar,lisboahotelbaires@outlook.com",,2 Estrellas,"Mitre, Bartolome",1282,"Mitre, Bartolome 1282",-58.384632977671814,-34.60756390887768,POINT (-58.384632977671814 -34.60756390887768)
233,Loisuites Esmeralda,"Alvear, Marcelo T. De 842",4131-6800,reservas3@loisuites.com.ar,,Apart 1 Estrella,"Alvear, Marcelo T. De",842,"Alvear, Marcelo T. De 842",-58.379042908454124,-34.596481149982054,POINT (-58.379042908454124 -34.596481149982054)
236,Los Robles,Estados Unidos 827,4300-2096,daquilaus@hotmail.com,,Hospedaje A,Estados Unidos,827,Estados Unidos 827,-58.37770741635312,-34.618487834122014,POINT (-58.37770741635312 -34.618487834122014)
237,Los Tres Reyes,Brasil 423,4300-9456,hotel_tresreyes@yahoo.com,,2 Estrellas,Brasil,423,Brasil 423,-58.37147668132021,-34.62533125379087,POINT (-58.37147668132021 -34.62533125379087)
243,Maipo,Esmeralda 474,4328-4907/4393-2982,hotelmaipo@hotmail.com,,Hospedaje B,Esmeralda,474,Esmeralda 474,-58.37817539120459,-34.60269025488251,POINT (-58.37817539120459 -34.60269025488251)
245,Mansion Vitraux,"Calvo, Carlos 369",4300-6886,frontdesk.boutiquesuites@boutiqueapartmentsba.com,,Registro de Prestadores-Boutique,"Calvo, Carlos",369,"Calvo, Carlos 369",-58.37108339775908,-34.61941313289567,POINT (-58.37108339775908 -34.61941313289567)
246,Marbella Hotel,De Mayo Av. 1261,4383-8566/3573,info@hotelmarbella.com.ar,,2 Estrellas,De Mayo Av.,1261,De Mayo Av. 1261,-58.38430029983215,-34.60919345724145,POINT (-58.38430029983215 -34.60919345724145)
248,Mayflower Suites,Parana 720,5238 0050 / 5235 0456,reservas@mayflowersuites.com.ar,,Apart 2 Estrellas,Parana,720,Parana 720,-58.38818122824988,-34.600387395566614,POINT (-58.38818122824988 -34.600387395566614)
251,Melia Buenos Aires,Reconquista 945,4891-3800,reservas@meliabuenosaires.com.ar,,5 Estrellas,Reconquista,945,Reconquista 945,-58.372971083953516,-34.59680172155505,POINT (-58.372971083953516 -34.59680172155505)
253,Mérit San Telmo,"Alsina, Adolfo 801",5280-9100,recepcionnmba@merithoteles.com.ar,,Registro de Prestadores,"Alsina, Adolfo",801,"Alsina, Adolfo 801",-58.37775380108892,-34.610493147424165,POINT (-58.37775380108892 -34.610493147424165)
257,Miky,Talcahuano 362,4371-2376,,,Hospedaje B,Talcahuano,362,Talcahuano 362,-58.38516732974413,-34.60441528650248,POINT (-58.38516732974413 -34.60441528650248)
258,Milan,Montevideo 337,4373-0759 / 4374-1906,info@milanhotel.com.ar,,1 Estrella,Montevideo,337,Montevideo 337,-58.3892965301222,-34.604983357531836,POINT (-58.3892965301222 -34.604983357531836)
259,Milhouse Avenue,De Mayo Av. 1245,5796-2009,info@milhousehostel.com,,Registro de Prestadores,De Mayo Av.,1245,De Mayo Av. 1245,-58.38408503358012,-34.60917869391311,POINT (-58.38408503358012 -34.60917869391311)
263,Miramar,Salta 1429,4306-6038,,,Hospedaje B,Salta,1429,Salta 1429,-58.38298533063855,-34.625071956263966,POINT (-58.38298533063855 -34.625071956263966)
265,Napoleon Hotel,Rivadavia 1364,5353-2031/37,info@hotel-napoleon.com.ar,,3 Estrellas,Rivadavia,1364,Rivadavia 1364,-58.385748309735924,-34.608803265305916,POINT (-58.385748309735924 -34.608803265305916)
267,Nh 9 de Julio,Cerrito 156,6841-9937,nh9dejulio@nh-hotels.com,,4 Estrellas,Cerrito,156,Cerrito 156,-58.38212652604045,-34.606682550814334,POINT (-58.38212652604045 -34.606682550814334)
268,Nh Buenos Aires City,Bolivar 160,4121-6464 / 6400,nhcity@nh-hotels.com,,5 Estrellas,Bolivar,160,Bolivar 160,-58.373432415041194,-34.60976234052745,POINT (-58.373432415041194 -34.60976234052745)
269,Nh Collection Buenos Aires Crillón,Santa Fe Av. 796,4310-3000,nhcollectioncrillon@nh-hotels.com,,4 Estrellas,Santa Fe Av.,796,Santa Fe Av. 796,-58.378349799449765,-34.59514029657053,POINT (-58.378349799449765 -34.59514029657053)
270,Nh Collection Jousten,Corrientes Av. 240,5984-3817,nhcollectionjousten@nh-hotels.com,,4 Estrellas,Corrientes Av.,240,Corrientes Av. 240,-58.37068213575715,-34.60308298189587,POINT (-58.37068213575715 -34.60308298189587)
271,Nh Collection Lancaster,Cordoba Av. 405,4131-6464,nhcollectionlancaster@nh-hotels.com,,4 Estrellas,Cordoba Av.,405,Cordoba Av. 405,-58.37290394041745,-34.598468027807726,POINT (-58.37290394041745 -34.598468027807726)
272,Nh Florida,San Martin 839,4321-9850,nhFlorida@nh-hotels.com,,4 Estrellas,San Martin,839,San Martin 839,-58.37416118039031,-34.59807485952298,POINT (-58.37416118039031 -34.59807485952298)
273,Nh Latino,Suipacha 309,5776-6464 / 4321-6700,nhlatino@nh-hotels.com,,4 Estrellas,Suipacha,309,Suipacha 309,-58.3793327655981,-34.60469904707603,POINT (-58.3793327655981 -34.60469904707603)
274,Nh Tango,Cerrito 550,4124-6700,nhtango@nh-hotels.com,,4 Estrellas,Cerrito,550,Cerrito 550,-58.382385285239415,-34.6020039078384,POINT (-58.382385285239415 -34.6020039078384)
276,Normandie Hotel,Rodriguez Peña 320,4371-7001 al 06,normandie@hotelnormandie.com.ar,,3 Estrellas,Rodriguez Peña,320,Rodriguez Peña 320,-58.390869987804095,-34.60528961371819,POINT (-58.390869987804095 -34.60528961371819)
277,Novel Hotel,De Mayo Av. 915,4345-3532,info@novelhotel.com.ar,,2 Estrellas,De Mayo Av.,915,De Mayo Av. 915,-58.379446230392354,-34.608860460784335,POINT (-58.379446230392354 -34.608860460784335)
278,Novotel,Corrientes Av. 1334,4370-9500,H6503-re@accor.com,,4 Estrellas,Corrientes Av.,1334,Corrientes Av. 1334,-58.385603402200886,-34.60399219041968,POINT (-58.385603402200886 -34.60399219041968)
279,O Rei,Lavalle 733,4393-7186,info@hotelorei.com.ar,,Hospedaje B,Lavalle,733,Lavalle 733,-58.37719080337632,-34.602272328807864,POINT (-58.37719080337632 -34.602272328807864)
281,Odeon,Humberto 1° 1257,4303-3347/9775,"info@hotelodeon.com.ar,hotelodeon@hotmail.com",,Hospedaje A,Humberto 1°,1257,Humberto 1° 1257,-58.38376029184762,-34.62096932145454,POINT (-58.38376029184762 -34.62096932145454)
297,Park Royal Buenos Aires,Suipacha 1092,4320-3600,reservationsbue@park-royalhotels.com,,Apart 1 Estrella,Suipacha,1092,Suipacha 1092,-58.3800311417975,-34.59536315680769,POINT (-58.3800311417975 -34.59536315680769)
298,Park Tower Buenos Aires Hotel,"Alem, Leandro N. Av. 1193",4318-9100,BUESC-Reservations@marriott.com,,5 Estrellas,"Alem, Leandro N. Av.",1193,"Alem, Leandro N. Av. 1193",-58.37366584405123,-34.593621978144384,POINT (-58.37366584405123 -34.593621978144384)
299,Parlamento Hotel,Rodriguez Peña 61,4371-3789 / 4374-1410/1709,info@hotelparlamento.com.ar,,3 Estrellas,Rodriguez Peña,61,Rodriguez Peña 61,-58.390564523417964,-34.60841109352001,POINT (-58.390564523417964 -34.60841109352001)
300,Patios de San Telmo,Chacabuco 752,4307-0480/0965,info@patiosdesantelmo.com.ar,,Registro de Prestadores,Chacabuco,752,Chacabuco 752,-58.37588504207623,-34.61679287514746,POINT (-58.37588504207623 -34.61679287514746)
301,Pestana Hotel,"Pellegrini, Carlos 877",5239-1000 / 1100,reservas.buenosaires@pestana.com,,4 Estrellas,"Pellegrini, Carlos",877,"Pellegrini, Carlos 877",-58.38126083640267,-34.59812527943678,POINT (-58.38126083640267 -34.59812527943678)
303,Piramides,"Peron, Juan Domingo, Tte. General 1473",4371-4849,,,Hospedaje A,"Peron, Juan Domingo, Tte. General",1473,"Peron, Juan Domingo, Tte. General 1473",-58.38742375647381,-34.60643994868572,POINT (-58.38742375647381 -34.60643994868572)
306,Plaza Roma,Lavalle 110,4311-1679,"info@hotelplazaroma.com.ar,reservas@hotelplazaroma.com.ar",,2 Estrellas,Lavalle,110,Lavalle 110,-58.3692676199378,-34.60186775211333,POINT (-58.3692676199378 -34.60186775211333)
308,Presidente Hotel,Cerrito 850,4816-2222,reservas@hotelpresidente.com.ar,,4 Estrellas,Cerrito,850,Cerrito 850,-58.382630898610984,-34.59853223168681,POINT (-58.382630898610984 -34.59853223168681)
309,Principado Downtown Hotel,Paraguay 481,4313-3022,reservas@principado.com.ar,,4 Estrellas,Paraguay,481,Paraguay 481,-58.37400398594083,-34.59735154821203,POINT (-58.37400398594083 -34.59735154821203)
311,Puerto Limón Hostel,Chacabuco 1080,3645-9086,info@puertolimon.com,,Registro de Prestadores,Chacabuco,1080,Chacabuco 1080,-58.375690204281035,-34.62057286385225,POINT (-58.375690204281035 -34.62057286385225)
315,Recoleta Luxury Boutique Hotel,Parera 183,6777-0200,reservas.bsas@hotels-unique.com,,4 Estrellas,Parera,183,Parera 183,-58.385070338879125,-34.59067756029026,POINT (-58.385070338879125 -34.59067756029026)
316,Regal Pacific,25 De Mayo 764,4310-7000,reservas@regalpacific.com.ar,,5 Estrellas,25 De Mayo,764,25 De Mayo 764,-58.37152062679325,-34.598852515679006,POINT (-58.37152062679325 -34.598852515679006)
317,Regente Palace Hotel,Suipacha 964,4328-6800,reservas@regente.com,,4 Estrellas,Suipacha,964,Suipacha 964,-58.37995011393771,-34.59696961281424,POINT (-58.37995011393771 -34.59696961281424)
318,Regis Hotel,Lavalle 813,0810 222 6746 / (5411) 4327 2605,regisventa@hotelregis.com.ar,,3 Estrellas,Lavalle,813,Lavalle 813,-58.378333131991916,-34.602333943803785,POINT (-58.378333131991916 -34.602333943803785)
319,Reina,De Mayo Av. 1120,4381-2496,reservas@hotelreina.com.ar,,Hospedaje A,De Mayo Av.,1120,De Mayo Av. 1120,-58.382245928271175,-34.60916285711267,POINT (-58.382245928271175 -34.60916285711267)
323,Ribera Sur,Paseo Colon Av. 1145,4361-7398,info@riberasurhotel.com.ar,,Registro de Prestadores,Paseo Colon Av.,1145,Paseo Colon Av. 1145,-58.368449409764736,-34.621092228190385,POINT (-58.368449409764736 -34.621092228190385)
325,Rio de La Plata,"Garay, Juan De Av. 1271",4305-3191 / 4306-8689,,,1 Estrella,"Garay, Juan De Av.",1271,"Garay, Juan De Av. 1271",-58.38390946824685,-34.626933369568825,POINT (-58.38390946824685 -34.626933369568825)
327,Rochester Classic,Esmeralda 542,0800-345-0040 / 4326-6076 / 5256-1055,reservas@rochesterclassic.com.ar,,4 Estrellas,Esmeralda,542,Esmeralda 542,-58.37821448209323,-34.60190088238046,POINT (-58.37821448209323 -34.60190088238046)
328,Rochester Concept,Maipu 572,4328-3930,info@rochester-hotel.com.ar,,3 Estrellas,Maipu,572,Maipu 572,-58.37681094601009,-34.60147973094332,POINT (-58.37681094601009 -34.60147973094332)
329,Roma (Av de Mayo 1413),De Mayo Av. 1413,4383-1273,,,Hospedaje A,De Mayo Av.,1413,De Mayo Av. 1413,-58.38641692044225,-34.609338639942074,POINT (-58.38641692044225 -34.609338639942074)
331,Sabatico Traveller Hostel,Mexico 1410,4381-1138,info@sabaticohostel.com.ar,,Registro de Prestadores,Mexico,1410,Mexico 1410,-58.386077011846105,-34.61555669711599,POINT (-58.386077011846105 -34.61555669711599)
337,San Roman,Moreno 1133,4383-2318,hotelsanroman@yahoo.com.ar,,Hospedaje A,Moreno,1133,Moreno 1133,-58.382335541035175,-34.61189799616583,POINT (-58.382335541035175 -34.61189799616583)
341,Savoy Hotel,Callao Av. 181,4370-8000 / 10,reservas@savoyhotel.com.ar,,4 Estrellas,Callao Av.,181,Callao Av. 181,-58.39203644800922,-34.60702671527257,POINT (-58.39203644800922 -34.60702671527257)
342,Scala Hotel,"Irigoyen, Bernardo De 740",4343-0606,info@scalabuenosaires.com,,Registro de Prestadores,"Irigoyen, Bernardo De",740,"Irigoyen, Bernardo De 740",-58.380240316769815,-34.61690150871696,POINT (-58.380240316769815 -34.61690150871696)
343,Serena Hotel Buenos Aires,Libertad 1617,4813-3226,reservas@serenahoteles.com,,3 Estrellas,Libertad,1617,Libertad 1617,-58.38336228170859,-34.589375126462336,POINT (-58.38336228170859 -34.589375126462336)
344,Sevilla,Solis 138,4372-8447,,,Hospedaje B,Solis,138,Solis 138,-58.390332788602144,-34.61062833100616,POINT (-58.390332788602144 -34.61062833100616)
345,Sheraton Buenos Aires Hotel & Convention Center,San Martin 1225,4318-9000,BUESC-Reservations@marriott.com,,5 Estrellas,San Martin,1225,San Martin 1225,-58.373456362396325,-34.59318813620902,POINT (-58.373456362396325 -34.59318813620902)
347,Sofitel Buenos Aires Recoleta,Posadas 1232,4819-1100,h8932-re@accor.com,,5 Estrellas,Posadas,1232,Posadas 1232,-58.384037981463315,-34.58939292612383,POINT (-58.384037981463315 -34.58939292612383)
349,Solans Carlton,Libertad 1180,4812-0081,"rescarlton@solans.com,frontcarlton@solans.com",,4 Estrellas,Libertad,1180,Libertad 1180,-58.38446990436516,-34.59469341988043,POINT (-58.38446990436516 -34.59469341988043)
351,Splendid Hotel,Rivadavia 950,4345-2800,ventas@hotel-splendid.com.ar,,3 Estrellas,Rivadavia,950,Rivadavia 950,-58.3799536335768,-34.60839259910357,POINT (-58.3799536335768 -34.60839259910357)
352,Sudamerika Hostel & Suites,"Yrigoyen, Hipolito 951",4342-3053,info@sudamerikahostel.com.ar,,Registro de Prestadores,"Yrigoyen, Hipolito",951,"Yrigoyen, Hipolito 951",-58.37993390978212,-34.60949486053682,POINT (-58.37993390978212 -34.60949486053682)
353,Tango de Mayo,De Mayo Av. 1396,3221-6500,info@tango-hotel.com.ar,,Registro de Prestadores-Boutique,De Mayo Av.,1396,De Mayo Av. 1396,-58.3861594186452,-34.60943126401745,POINT (-58.3861594186452 -34.60943126401745)
354,Tanguero Boutique,Suipacha 780,4328-7006 / 4328-7045,info@tanguerohotel.com,,Registro de Prestadores-Boutique,Suipacha,780,Suipacha 780,-58.37980022867815,-34.5992305999629,POINT (-58.37980022867815 -34.5992305999629)
355,Telmotango,Chacabuco 679,6072-2604,telmotango22_@hotmail.com,,Registro de Prestadores,Chacabuco,679,Chacabuco 679,-58.37606375779782,-34.615949618221116,POINT (-58.37606375779782 -34.615949618221116)
358,Tiana Buenos Aires,Humberto 1° 629,4362-8663 / 4300 8177,info@tianabuenosaires.com.ar,,Registro de Prestadores-Boutique,Humberto 1°,629,Humberto 1° 629,-58.37468712628534,-34.62071885337843,POINT (-58.37468712628534 -34.62071885337843)
361,Tres Sargentos Hotel,Tres Sargentos 345,4312-6082,tresargentos@hotmail.com,,2 Estrellas,Tres Sargentos,345,Tres Sargentos 345,-58.37234094572211,-34.597733421430526,POINT (-58.37234094572211 -34.597733421430526)
363,Tritone Hotel,Maipu 657,4325-8960/8955,"reservas@tritonehotel.com.ar,recepcion@tritonehotel.com.ar",,4 Estrellas,Maipu,657,Maipu 657,-58.376719798579316,-34.600460263225735,POINT (-58.376719798579316 -34.600460263225735)
364,Tucuman Palace Hotel,Tucuman 384,4311-3555,reservas@Tucumanpalacehotel.com.ar,,2 Estrellas,Tucuman,384,Tucuman 384,-58.37234899267381,-34.60088771200264,POINT (-58.37234899267381 -34.60088771200264)
365,Turista Hotel,De Mayo Av. 686,4331-2281 / 2485,turistahotel@yahoo.com.ar,,1 Estrella,De Mayo Av.,686,De Mayo Av. 686,-58.37613396928068,-34.608739188834754,POINT (-58.37613396928068 -34.608739188834754)
367,Unique Executive Central,"Saenz Peña, Roque, Pres. Diagonal Norte Av. 1174",6777-0300,reservas.bsas@hotels-unique.com,,4 Estrellas,"Saenz Peña, Roque, Pres. Diagonal Norte Av.",1174,"Saenz Peña, Roque, Pres. Diagonal Norte Av. 1174",-58.383215934383976,-34.602965056291595,POINT (-58.383215934383976 -34.602965056291595)
368,Unique Le B Club Boutique & Terrasse,Talcahuano 1253,6777-0400,reservas.bsas@hotels-unique.com,,4 Estrellas,Talcahuano,1253,Talcahuano 1253,-58.38594332482489,-34.593559860806344,POINT (-58.38594332482489 -34.593559860806344)
369,Universal,Cochabamba 1364,4306-5718,,,Hospedaje B,Cochabamba,1364,Cochabamba 1364,-58.38527832574031,-34.623604181257754,POINT (-58.38527832574031 -34.623604181257754)
370,Up Congreso,Montevideo 84,4382-8789,gerencia@riverhotel.com.ar,,3 Estrellas,Montevideo,84,Montevideo 84,-58.38932311425469,-34.60804927172813,POINT (-58.38932311425469 -34.60804927172813)
371,Up Viamonte,Viamonte 1373,4371-9993,info@upviamonte.com,,Apart 1 Estrella,Viamonte,1373,Viamonte 1373,-58.38633820873762,-34.60050331181071,POINT (-58.38633820873762 -34.60050331181071)
375,Viasui Hotel,Viamonte 960,5252- 3070 al 73,reservas@viasuihotel.com.ar,,3 Estrellas,Viamonte,960,Viamonte 960,-58.380553835605525,-34.60022685122774,POINT (-58.380553835605525 -34.60022685122774)
376,Victoria,Chacabuco 726,4351-2135,,,Hospedaje B,Chacabuco,726,Chacabuco 726,-58.375901426636,-34.61651022974591,POINT (-58.375901426636 -34.61651022974591)
377,Village Garden Apart Hotel,Suipacha 250,4326-0163 / 7879 / 8737,reservas@hotelvillagegarden.com.ar,,Apart 1 Estrella,Suipacha,250,Suipacha 250,-58.379421501194116,-34.60546981636228,POINT (-58.379421501194116 -34.60546981636228)
378,Waldorf,Paraguay 450,4312-2071/9,reservas@waldorf-hotel.com.ar,,3 Estrellas,Paraguay,450,Paraguay 450,-58.37359412122177,-34.5974346180018,POINT (-58.37359412122177 -34.5974346180018)
379,Washington,"Garay, Juan De Av. 340",4361-4738,,,Hospedaje B,"Garay, Juan De Av.",340,"Garay, Juan De Av. 340",-58.370322819450955,-34.62424191366461,POINT (-58.370322819450955 -34.62424191366461)
381,Yale,"Saenz Peña, Luis, Pres. 1007",4305-8754,,,Hospedaje B,"Saenz Peña, Luis, Pres.",1007,"Saenz Peña, Luis, Pres. 1007",-58.38738240465864,-34.62007265684191,POINT (-58.38738240465864 -34.62007265684191)
24,Apart Hotel Anchorena,"Anchorena, Tomas Manuel De, Dr. 1121",4961-8548 / 9445/,info@anchorenaappart.com.ar,,Apart 1 Estrella,"Anchorena, Tomas Manuel De, Dr.",1121,"Anchorena, Tomas Manuel De, Dr. 1121",-58.407063255836306,-34.59637478992723,POINT (-58.407063255836306 -34.59637478992723)
27,Arenales Hotel,Arenales 2984,4828-5000,info@hotelarenales.com.ar,,Registro de Prestadores,Arenales,2984,Arenales 2984,-58.40691390797785,-34.590364421174776,POINT (-58.40691390797785 -34.590364421174776)
261,Miño,Gallo 1258,4962-3673,rodovalho@ciudad.com.ar,,Hospedaje A,Gallo,1258,Gallo 1258,-58.41142001756789,-34.59575334388244,POINT (-58.41142001756789 -34.59575334388244)
284,Omega,Paraguay 2991,4962-5431,reservashotelomega@gmail.com,,1 Estrella,Paraguay,2991,Paraguay 2991,-58.40947359877623,-34.59566617398573,POINT (-58.40947359877623 -34.59566617398573)
310,Principe Hotel,Laprida 1454,4821-9818,principe@hotel-principe.com.ar,,2 Estrellas,Laprida,1454,Laprida 1454,-58.405615120496826,-34.5921097349713,POINT (-58.405615120496826 -34.5921097349713)
19,Alvear Palace Hotel,Alvear Av. 1891,4808-2100,"reservas@alvear.com.ar,info@alvearpalace.com",,5 Estrellas,Alvear Av.,1891,Alvear Av. 1891,-58.3890496897681,-34.58767865435859,POINT (-58.3890496897681 -34.58767865435859)
23,Ancon,"Alvear, Marcelo T. De 2223",4824-0338,hotelancon@hotelancon.com.ar,,Hospedaje B,"Alvear, Marcelo T. De",2223,"Alvear, Marcelo T. De 2223",-58.39920185249126,-34.59693013198696,POINT (-58.39920185249126 -34.59693013198696)
26,Arc Recoleta,Peña 2155,2150-4680,reservas@archoteles.com.ar,,Registro de Prestadores-Boutique,Peña,2155,Peña 2155,-58.39637753725828,-34.5914160866878,POINT (-58.39637753725828 -34.5914160866878)
41,Ayacucho Palace Hotel,Ayacucho 1048,4806-1815,reservas@ayacuchohotel.com.ar,,2 Estrellas,Ayacucho,1048,Ayacucho 1048,-58.39617877211156,-34.59656137606328,POINT (-58.39617877211156 -34.59656137606328)
50,Blank,Peña 2049,4195-1137,reservas@blankhotel.com.ar,,Registro de Prestadores,Peña,2049,Peña 2049,-58.395411268117165,-34.592215382397185,POINT (-58.395411268117165 -34.592215382397185)
58,Callao Suites Apart Hotel Recoleta,Callao Av. 1062,4812-3102,info@callaosuites.com.ar,,Registro de Prestadores,Callao Av.,1062,Callao Av. 1062,-58.39335129554893,-34.596406578240504,POINT (-58.39335129554893 -34.596406578240504)
65,Casasur Recoleta,Callao Av. 1823,4515-0085,recepcion@casasurhotel.com,,Registro de Prestadores-Boutique,Callao Av.,1823,Callao Av. 1823,-58.38872650576148,-34.58898051701611,POINT (-58.38872650576148 -34.58898051701611)
76,Club Frances,Rodriguez Peña 1832,4811-0348,info@hotelclubfrances.com.ar,,Registro de Prestadores-Boutique,Rodriguez Peña,1832,Rodriguez Peña 1832,-58.38770116111373,-34.589650166141844,POINT (-58.38770116111373 -34.589650166141844)
82,Córdoba Suites,Cordoba Av. 1827,4811-8125,cordobasuites@gmail.com,,Registro de Prestadores,Cordoba Av.,1827,Cordoba Av. 1827,-58.39334887678897,-34.59959111266173,POINT (-58.39334887678897 -34.59959111266173)
89,Dazzler By Wyndham Buenos Aires Recoleta,Las Heras General Av. 2161,2058-5556,recepcion@dazzlerrecoleta.com,,Registro de Prestadores,Las Heras General Av.,2161,Las Heras General Av. 2161,-58.39542406456093,-34.588686540221744,POINT (-58.39542406456093 -34.588686540221744)
93,Desing Ce - Hotel de Diseño,"Alvear, Marcelo T. De 1695",5237-3100,info@designce.com,,Apart 3 Estrellas,"Alvear, Marcelo T. De",1695,"Alvear, Marcelo T. De 1695",-58.391703785675816,-34.597161038157736,POINT (-58.391703785675816 -34.597161038157736)
106,Épico Recoleta,Laprida 1902,5199-8399,info@epicorecoletahotel.com.ar,,3 Estrellas,Laprida,1902,Laprida 1902,-58.40092491495961,-34.58842535609633,POINT (-58.40092491495961 -34.58842535609633)
110,Esplendor By Wyndham Buenos Aires Plaza Francia,"Schiaffino, Eduardo 2189",4804 9631,reservas@esplendorplazafrancia.com,,3 Estrellas,"Schiaffino, Eduardo",2189,"Schiaffino, Eduardo 2189",-58.38869893200739,-34.58546082293492,POINT (-58.38869893200739 -34.58546082293492)
144,Guido Palace Hotel,Guido 1780,4812-0674 / 0841,hotelguidopalace@hotmail.com.ar,,2 Estrellas,Guido,1780,Guido 1780,-58.389782716151004,-34.590237635107805,POINT (-58.389782716151004 -34.590237635107805)
189,Hub Porteño,Rodriguez Peña 1967,4815-6100,front@hubporteño.com,,Registro de Prestadores-Boutique,Rodriguez Peña,1967,Rodriguez Peña 1967,-58.38636524921068,-34.58847441050508,POINT (-58.38636524921068 -34.58847441050508)
195,Imperial,"Uriburu Jose E., Pres. 1287",4824-1251,,,Hospedaje B,"Uriburu Jose E., Pres.",1287,"Uriburu Jose E., Pres. 1287",-58.397439208682194,-34.59313312550268,POINT (-58.397439208682194 -34.59313312550268)
200,Intersur Recoleta,Callao Av. 1764,5533-4000,reservas@intersurrecoleta.com.ar,,4 Estrellas,Callao Av.,1764,Callao Av. 1764,-58.38939885627551,-34.589425065901374,POINT (-58.38939885627551 -34.589425065901374)
234,Loisuites Recoleta Hotel,"Lopez, Vicente 1955",5777-8950,recoleta@loisuites.com.ar,,5 Estrellas,"Lopez, Vicente",1955,"Lopez, Vicente 1955",-58.39246972784902,-34.58956207270242,POINT (-58.39246972784902 -34.58956207270242)
252,Melia Recoleta Plaza,Posadas 1557,5353-4000,reservas@meliarecoletaplaza.com.ar,,4 Estrellas,Posadas,1557,Posadas 1557,-58.387770180389985,-34.58707969591274,POINT (-58.387770180389985 -34.58707969591274)
262,Mio Buenos Aires,"Quintana, Manuel, Pres. Av. 465",5295-8500,reservas@miobuenosaires.com,,Registro de Prestadores-Boutique,"Quintana, Manuel, Pres. Av.",465,"Quintana, Manuel, Pres. Av. 465",-58.38957097484884,-34.58856700381086,POINT (-58.38957097484884 -34.58856700381086)
289,Palacio Duhau - Park Hyatt Buenos Aires,Posadas 1350,5171-1234,buenosaires.park@hyatt.com,,5 Estrellas,Posadas,1350,Posadas 1350,-58.38555722881138,-34.58850838734476,POINT (-58.38555722881138 -34.58850838734476)
292,Palladio Hotel Buenos Aires - Mgallery,Callao Av. 924,4700-7500,recepcion.palladio@accor.com,,Registro de Prestadores,Callao Av.,924,Callao Av. 924,-58.39314614000367,-34.598358567112385,POINT (-58.39314614000367 -34.598358567112385)
314,Recoleta Grand Hotel,"Las Heras, General 1745",4129-9800 int 5062,reservebue@grand-hotels-lux.com,,Registro de Prestadores,"Las Heras, General",1745,"Las Heras, General 1745",-58.391122140126974,-34.59221708354541,POINT (-58.391122140126974 -34.59221708354541)
346,Sileo Hotel,Azcuenaga 1968,4809-0001,reservas@sileohotel.com,,Registro de Prestadores-Boutique,Azcuenaga,1968,Azcuenaga 1968,-58.39473160122191,-34.58709313150042,POINT (-58.39473160122191 -34.58709313150042)
362,Trianon Residence Recoleta,Callao Av. 1869,4819-9300,info@trianon.com.ar,,Apart 1 Estrella,Callao Av.,1869,Callao Av. 1869,-58.3883479895638,-34.5886385832659,POINT (-58.3883479895638 -34.5886385832659)
366,Ulises Recoleta Suites,Ayacucho 2016,4804-4571 / 4572,info@ulisesrecoleta.com.ar,,Apart 2 Estrellas,Ayacucho,2016,Ayacucho 2016,-58.389117894157046,-34.587472073185616,POINT (-58.389117894157046 -34.587472073185616)
372,Urban Suites Recoleta,Junin 1727,4803 2300,ventas@urbanrecoleta.com,,Apart 2 Estrellas,Junin,1727,Junin 1727,-58.39271550385915,-34.58896914879824,POINT (-58.39271550385915 -34.58896914879824)
380,Wilton Hotel,Callao Av. 1162,4811-1818 / 1993,"info@hotelwilton.com.ar,reservas@hotelwilton.com.ar",,4 Estrellas,Callao Av.,1162,Callao Av. 1162,-58.393314999297985,-34.59523263132272,POINT (-58.393314999297985 -34.59523263132272)
2,24 de Noviembre,24 De Noviembre 1057,4931-4661,,,Hospedaje B,24 De Noviembre,1057,24 De Noviembre 1057,-58.410588990968286,-34.62328824207414,POINT (-58.410588990968286 -34.62328824207414)
